Job Title,Location,Description
Sr. Software Engineer,"Secaucus, NJ, USA","About The Role We are looking for a passionate software engineer to design, develop and install software solutions. In this role, you will be responsible for translating user requirements, defining system functionality, and writing code in various languages and be familiar with the software development life cycle (SDLC) from preliminary system analysis to tests and deployment. Ultimately, the role of the Software Engineer is to build high-quality, innovative, and fully performing software that"
Phd - Chemical Engineering Software Engineer,"Jersey City, NJ, USA","We are seeking a talented Chemical Engineering Software Engineer to join our team in developing advanced software solutions for the commercial and industrial software industry. This position presents an excellent opportunity for recent Ph.D. graduates or individuals currently in research roles in academia who are looking to transition into an industry setting. You will be involved in the development of state-of-the-art simulation and modeling platforms, collaborating with a team of experienced e"
Senior Java and SQL Software Engineer (w2 only)..........Remote,"New York, NY, USA","Role: Senior Java and SQL Software Engineer Location: Remote Duration: 03 to 04 Month Senior Java and SQL Software Engineer * Technical expert, senior level developer of distributed architecture applications. * Designs, develops, tests, debugs and implements systems components, software tools and utilities. * Provides technical support in a defined project under direct supervision. * Develops program logic for new applications or analyses and modifies logic in existing applications. * Modifies"
Senior Mobile Software Engineer,"Tarrytown, NY, USA","Senior Mobile Software Engineer Burlington Office, 62 Merchants Row, Williston, Vermont, United States of America Fishkill Office, 300 Westage Business Center Drive, Fishkill, New York, United States of America Headquarters Office, 625 State Street, Schenectady, New York, United States of America Rochester Office, 20 S. Clinton Ave, Rochester, New York, United States of America Tarrytown Office, 303 South Broadway, Tarrytown, New York, United States of America Virtual Req #1449 Friday, May"
Oracle Software Engineer,"Morris Plains, NJ, USA","job summary: Looking for a motivated and experienced software developer to work as part of a diverse team of developers and testers to build and maintain software applications and components for the Supplemental Health Solutions (SHS) technology team. SHS team is building solutions on-prem and in the cloud to meet the various needs of the business to support different business areas such as claims processing, billing, finance etc. We are a team of motivated individuals that are focused on buil"
Lead Specialty Software Engineer,"Summit, NJ, USA","Location: Summit, NJ Description: Our client is currently seeking a Lead Specialty Software Engineer - W2 ONLY Lead complex initiatives on selected domains. Ensure systems are monitored to increase operational efficiency and managed to mitigate risk. Define opportunities to maximize resource utilization and improve processes while reducing cost. Lead, design, develop, test and implement applications and system components, tools and utilities, models, simulation, and analytics to manage compl"
Java Angular Full-Stack Software Engineer- PIPELINE REQUISITION,"Jersey City, NJ, USA","Overview Java Angular Full-Stack Software Engineer Note: This is a pipeline requisition and does not represent any one particular job opening. By applying to this pipeline requisition, your interest will be reviewed for Java Angular Full-Stack Software Engineer openings based upon your background and disclosed work preference. Bring your ideas. Make history. BNY Mellon offers an exciting array of future-forward careers at the intersection of business, finance, and technology. We are one of the"
Java Angular Full-Stack Software Engineer- PIPELINE REQUISITION,"New York, NY, USA","Overview Java Angular Full-Stack Software Engineer Note: This is a pipeline requisition and does not represent any one particular job opening. By applying to this pipeline requisition, your interest will be reviewed for Java Angular Full-Stack Software Engineer openings based upon your background and disclosed work preference. Bring your ideas. Make history. BNY Mellon offers an exciting array of future-forward careers at the intersection of business, finance, and technology. We are one of the"
Senior Software Engineer,"New York, NY, USA","Location: New York City, NY Salary: Depends on Experience Description: Our client is currently seeking a Senior Software Engineer with Java and Python experience. Permanent Residents only-W2 Contract to Hire (3-6 month convert to FTE) Hybrid(3 days in office in New York City) Up to $85/hr based on experience Java (#1), python (preferred if have both), AWS (big plus), React (preference) or Angular, spring framework (spring boot ok), javascript, strong REST API's, Git or Bitbucket experi"
. NET Software Engineer,"Newark, NJ, USA","job summary: We are seeking a highly skilled and experienced .NET Web Software Engineer to join our clients team. The ideal candidate should have a minimum of 7 years of professional experience in developing and maintaining web applications using the .NET framework. The primary focus of this role will be to work with SQL and Oracle databases, ensuring the smooth functioning of our applications and delivering high-quality code. Key Responsibilities: Develop and create web applications using the"
Entry Level Software Engineer,"The Bronx, NY, USA","Entry Level Software Engineer Training Programme Full-time, trainingWork on real world projects in a team environment to get you enterprise-ready for placement with one of our corporate partners.Training on the most in-demand programming skills in the job market. we work together with our corporate partners, to identify the skills that are most vital to their organisationWe're invested in your success-you'll have an employee engagement team member to support and provide you with a wide range o"
Senior Software Engineer,"New York, NY, USA","11 West 19th Street (22008), United States of America, New York, New York Senior Software Engineer Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Full Stack Software Engineers who are passionate abou"
Senior Software Engineer,"Newark, NJ, USA","11 West 19th Street (22008), United States of America, New York, New York Senior Software Engineer Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Full Stack Software Engineers who are passionate abou"
Distinguished Software Engineer,"New York, NY, USA","Center 1 (19052), United States of America, McLean, Virginia Distinguished Software Engineer Distinguished Engineers are individual contributors who strive to be diverse in thought so we visualize the problem space. At Capital One, we believe diversity of thought strengthens our ability to influence, collaborate and provide the most innovative solutions across organizational boundaries. Distinguished Engineers will significantly impact our trajectory and devise clear roadmaps to deliver next g"
Distinguished Software Engineer,"Newark, NJ, USA","Center 1 (19052), United States of America, McLean, Virginia Distinguished Software Engineer Distinguished Engineers are individual contributors who strive to be diverse in thought so we visualize the problem space. At Capital One, we believe diversity of thought strengthens our ability to influence, collaborate and provide the most innovative solutions across organizational boundaries. Distinguished Engineers will significantly impact our trajectory and devise clear roadmaps to deliver next g"
"Senior Software Engineer, Full Stack","Newark, NJ, USA","West Creek 4 (12074), United States of America, Richmond, Virginia Senior Software Engineer, Full Stack Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Full Stack Software Engineers who are passionate"
"Senior Software Engineer, Full Stack","New York, NY, USA","West Creek 4 (12074), United States of America, Richmond, Virginia Senior Software Engineer, Full Stack Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Full Stack Software Engineers who are passionate"
"Senior Software Engineer, Full Stack","Newark, NJ, USA","West Creek 2 (12072), United States of America, Richmond, Virginia Senior Software Engineer, Full Stack Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Full Stack Software Engineers who are passionate"
"Senior Software Engineer, Full Stack","New York, NY, USA","West Creek 2 (12072), United States of America, Richmond, Virginia Senior Software Engineer, Full Stack Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Full Stack Software Engineers who are passionate"
"Senior Software Engineer, Full Stack","Newark, NJ, USA","1735 Market St (16035), United States of America, Philadelphia, Pennsylvania Senior Software Engineer, Full Stack Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Full Stack Software Engineers who are"
